epoch,acc,loss,lr,val_acc,val_loss
0,0.50545045169624125,0.70465677171140106,0.001,0.50055555502573645,0.69203001260757446
1,0.55977477254094299,0.69116899129506704,0.001,0.56388888756434119,0.68407950798670447
2,0.62049549495851675,0.6383771622503126,0.001,0.653333326180776,0.6193288962046305
3,0.63779279186918925,0.62677344599285645,0.001,0.6744444568951925,0.59524484475453698
4,0.65509008716892547,0.61046164583515472,0.001,0.59611111879348755,0.65510342518488562
5,0.66216216055122579,0.60148462653160095,0.001,0.6288888851801554,0.64008867740631104
6,0.67770270076957906,0.58710172047486175,0.001,0.64055556058883667,0.63444787263870239
7,0.67752251431748678,0.59098401424047109,0.001,0.70999999841054284,0.55417921145757043
8,0.68301801745956003,0.57963279050749705,0.001,0.73833332459131873,0.5252319176991781
9,0.69270270096289144,0.5797095862594811,0.001,0.66499998172124231,0.61595501502354943
10,0.68887387900739105,0.56848805095698385,0.001,0.73833334445953369,0.52508276700973511
11,0.71873873472213745,0.52627153734903076,0.001,0.73833332459131873,0.49527535835901898
12,0.73279279470443726,0.50453609711415059,0.001,0.74000000953674316,0.48455987373987836
13,0.74031531166385955,0.4894167217048439,0.001,0.70277778307596839,0.5476508537928263
14,0.7545045018196106,0.47644176193185755,0.001,0.79722223679224646,0.41361550490061444
15,0.76545045182511617,0.45847695824262258,0.001,0.6927777727444967,0.57477996746699012
16,0.77310810701267141,0.4412565948189916,0.001,0.82888889312744141,0.37516269087791443
17,0.78013513378194865,0.43420048742680939,0.001,0.74555555979410804,0.4646991988023122
18,0.7875225221788561,0.41964962756311569,0.001,0.79611110687255859,0.42357332507769269
19,0.80121621570071655,0.40384986755010244,0.001,0.79444444179534912,0.41536140441894531
20,0.79797297071766204,0.40112525224685669,0.001,0.81388890743255615,0.38251449664433795
21,0.82076576754853536,0.36419521272182465,0.001,0.79666666189829505,0.40273316701253253
22,0.8148648658314267,0.37921471692420339,0.001,0.76555556058883667,0.46742847561836243
23,0.82644144264427388,0.35953770054353251,0.001,0.81222222248713172,0.39375854531923932
24,0.82752252430529205,0.35564257969727386,0.001,0.81722221771876014,0.3990606963634491
