epoch,acc,loss,lr,val_acc,val_loss
0,0.55055555472007167,0.69550522015644956,0.001,0.50833333532015479,0.63202575842539466
1,0.57448718104607022,0.65298070815893317,0.001,0.64111111561457312,0.59547708431879676
2,0.63029914483045923,0.62661843880628931,0.001,0.68722222248713172,0.56702309846878052
3,0.64410256575315428,0.61536365441786933,0.001,0.71722221374511719,0.54005271196365356
4,0.66735043128331506,0.58546145145709694,0.001,0.7316666841506958,0.50929601987202966
5,0.67735043091651725,0.57857887714337075,0.001,0.74888888994852698,0.50248893102010095
6,0.69166666727799631,0.56129647371096492,0.001,0.74666666984558105,0.49700489640235901
7,0.70871794682282663,0.54607399228291631,0.001,0.75499999523162842,0.51027523477872216
8,0.72957265224212253,0.5222744613121717,0.001,0.76166667540868127,0.47067944208780926
9,0.74923076996436488,0.49585643334266466,0.001,0.79999999205271399,0.41572219133377075
10,0.75816238996310115,0.48572830359141034,0.001,0.79500001668930054,0.42415627837181091
11,0.76487179291553986,0.46690341295340121,0.001,0.80555554231007898,0.40390182534853619
12,0.77863247730793095,0.4444054433932671,0.001,0.79055557648340857,0.42286232113838196
13,0.79914530118306482,0.41879283464871919,0.001,0.70666664838790894,0.61848047375679016
14,0.80666666458814573,0.41073206296333897,0.001,0.79722223679224646,0.41286879777908325
15,0.80658119764083469,0.40300814005044788,0.001,0.76500000556310022,0.45086551705996197
16,0.82320513175084042,0.37775110052182126,0.001,0.80666665236155188,0.38950908184051514
17,0.81846153583282077,0.38056120429283535,0.001,0.76444445053736365,0.4664868911107381
18,0.82641025842764437,0.37105440367490816,0.001,0.79999999205271399,0.41245770454406738
19,0.82713675346129978,0.35818970509064502,0.001,0.84166665871938073,0.32405540347099304
