epoch,acc,loss,lr,val_acc,val_loss
0,0.5019230789098984,0.7219780897482847,0.001,0.54999999205271399,0.64789257446924842
1,0.5560256433792603,0.66277057085281765,0.001,0.59777778387069702,0.60907187064488733
2,0.57397435720150292,0.64864891309004569,0.001,0.60166666905085242,0.60324547688166297
3,0.60773503933197415,0.62778226840190399,0.001,0.57499998807907104,0.64627347389856971
4,0.59790598123501504,0.63212452485011172,0.001,0.63111112515131629,0.57487044731775916
5,0.63423076959756708,0.61117908740654969,0.001,0.64111111561457312,0.5804391702016195
6,0.6323076899235065,0.6091903967735095,0.001,0.66111111640930176,0.56000800927480066
7,0.66055555527026832,0.59043067999375176,0.001,0.68111109733581543,0.55610603094100952
8,0.65645299202356588,0.58936801629188729,0.001,0.66388889153798425,0.55425123373667395
9,0.66794871825438284,0.58362278112998378,0.001,0.68611109256744385,0.53494046131769812
10,0.66824786632488931,0.57957499149518132,0.001,0.68722222248713172,0.5680500864982605
11,0.67743589327885556,0.56914051985129333,0.001,0.721666673819224,0.52857683102289832
12,0.6967521340419085,0.56410189011158085,0.001,0.58388888835906982,0.60583392779032386
13,0.67824786366560519,0.5793714408691113,0.001,0.72999999920527137,0.50398449103037513
14,0.71094017303906953,0.54565960780168188,0.001,0.64222220579783118,0.58353858192761743
15,0.70957264686242127,0.54373254989966369,0.001,0.71777776877085364,0.52657818794250488
16,0.72192307924612975,0.54269893352801979,0.001,0.76500000556310022,0.47677295406659442
17,0.72568376400531864,0.53190420835446084,0.001,0.76555556058883667,0.46892208854357403
18,0.72316239277521766,0.5244939923286438,0.001,0.76666667064030969,0.48088141282399494
19,0.71713675443942726,0.5294245450924604,0.001,0.77555555105209351,0.48333439230918884
20,0.74196581198618961,0.51042471329371131,0.001,0.79777777194976807,0.418593426545461
21,0.74645298872238552,0.49869494484021115,0.001,0.79777777194976807,0.43507788578669232
22,0.75004273500197971,0.49040346267895824,0.001,0.77611110607782996,0.4534287651379903
23,0.75508546982056057,0.4811009596555661,0.001,0.79499999682108557,0.41845457752545673
24,0.76730769108503294,0.47708103137138563,0.001,0.81888890266418457,0.4013952414194743
25,0.77666666874518764,0.44600954881081212,0.001,0.82500000794728601,0.38519614934921265
26,0.78803418844174111,0.43787827476477009,0.001,0.81611112753550208,0.36151581009229022
27,0.79692307955179464,0.42583774603330171,0.001,0.82277778784433997,0.37358174721399945
28,0.80132478781235528,0.41325377042476946,0.001,0.81166666746139526,0.36482739448547363
29,0.80905982928398323,0.40883915470196652,0.001,0.83499999841054284,0.34538544217745465
30,0.80927350582220614,0.40769865344732237,0.001,0.83499999841054284,0.35724571347236633
31,0.81371795214139497,0.39052452414463729,0.001,0.81666666269302368,0.38076611359914142
32,0.81277777292789555,0.38897159466376674,0.001,0.8116666475931803,0.42665858070055646
33,0.8267521430284549,0.37550563040452128,0.001,0.85611110925674438,0.32541262110074359
34,0.82452991375556361,0.38176796757257903,0.001,0.66999999682108557,0.59302375713984168
35,0.81632478267718589,0.39089604982962978,0.001,0.82222223281860352,0.35298159718513489
36,0.82085469900033414,0.36902852203601444,0.001,0.81666666269302368,0.38058949510256451
37,0.83316239179709017,0.35848272152436084,0.001,0.81222220261891687,0.44220084945360821
38,0.83423076684658348,0.35572866560556948,0.001,0.82499998807907104,0.35096903642018634
39,0.83803418813607633,0.35054051073697895,0.001,0.76555556058883667,0.60907215873400367
40,0.82051282051282048,0.39017593172880322,0.001,0.84166665871938073,0.34175762534141541
41,0.83905983276856255,0.34307101368904114,0.001,0.83277779817581177,0.35344427824020386
42,0.8389743581796304,0.34926503552840305,0.001,0.77499999602635705,0.46216030915578205
43,0.83064102362363768,0.35506475583100933,0.001,0.82222221295038855,0.35670600334803265
44,0.84183761248221767,0.34036123943634522,0.001,0.83166668812433875,0.36291926105817157
45,0.84294871489206946,0.33747298518816632,0.001,0.85444444417953491,0.30446609854698181
46,0.84350427297445441,0.33881119848825991,0.001,0.8316666682561239,0.34495092431704205
47,0.85200854601004183,0.315103571384381,0.001,0.85388888915379846,0.32354341944058734
48,0.85393162874075079,0.31532834432063961,0.001,0.85222224394480384,0.34777095913887024
49,0.85679487234506857,0.30781676371892291,0.001,0.83611110846201575,0.34106558561325073
50,0.854358971118927,0.31106208303035832,0.001,0.83055555820465088,0.36753440896670025
51,0.8600000020785209,0.29742691914240521,0.001,0.82666665315628052,0.36534420649210614
52,0.86106837559968996,0.30371898947617948,0.001,0.85444444417953491,0.34830606977144879
53,0.85957265205872369,0.29200430940359068,0.001,0.82555556297302246,0.38114699721336365
54,0.86418803532918298,0.29392614846046156,0.001,0.86277776956558228,0.30342699090639752
55,0.86756410048558164,0.28246048054633999,0.001,0.85055555899937951,0.32256168623765308
