epoch,acc,loss,lr,val_acc,val_loss
0,0.63178571526493343,0.74015594380242489,0.001,0.68333333730697632,0.62678131461143494
1,0.6483333323683057,0.64835605663912632,0.001,0.68333333730697632,0.66876813769340515
2,0.64696428605488365,0.64366743607180454,0.001,0.67666667699813843,0.57420375943183899
3,0.64553571279559818,0.61686302082879207,0.001,0.6783333420753479,0.53217455744743347
4,0.65178572280066349,0.59680680824177601,0.001,0.68083333969116211,0.50820678472518921
5,0.65047618533883778,0.58237971791199272,0.001,0.68500000238418579,0.49622242152690887
6,0.64821428486279076,0.57422245506729397,0.001,0.68250000476837158,0.50359514355659485
7,0.66130951685564854,0.56294101689543041,0.001,0.68250000476837158,0.48303098976612091
8,0.66589285007544929,0.56408729936395374,0.001,0.71166667342185974,0.48950973153114319
9,0.66761904529162819,0.55759074006761822,0.001,0.76416668295860291,0.44693467020988464
10,0.68898809594767429,0.55302213877439499,0.001,0.72333332896232605,0.47297947108745575
11,0.7053571407284055,0.54022674049649921,0.001,0.7408333420753479,0.46658225357532501
12,0.70547619674886974,0.55180095668349949,0.001,0.77833333611488342,0.43498064577579498
13,0.72148808836936951,0.52008321987731121,0.001,0.76583334803581238,0.43818558752536774
14,0.73428571862833836,0.51109325779335835,0.001,0.77000001072883606,0.42608058452606201
15,0.74392857296126225,0.50101744277136662,0.001,0.78583332896232605,0.40545305609703064
16,0.74880952707358772,0.48940917955977575,0.001,0.78749999403953552,0.40739092230796814
17,0.74922618269920349,0.50574499687978203,0.001,0.81666666269302368,0.35983598232269287
18,0.78565476409026558,0.43152949533292223,0.001,0.83500000834465027,0.33426962792873383
19,0.78345237885202679,0.43788567611149382,0.001,0.84999999403953552,0.31689392030239105
20,0.80446428912026546,0.4005484197820936,0.001,0.82416665554046631,0.36145541071891785
21,0.82845238064016613,0.358868912926742,0.001,0.84333333373069763,0.34834232926368713
22,0.80851190856524879,0.40640010365418028,0.001,0.87999999523162842,0.27504479140043259
23,0.85154761799744194,0.32138826964156969,0.001,0.80583333969116211,0.47718618810176849
24,0.83595237135887146,0.35211192231093136,0.001,0.726666659116745,0.62777379155158997
25,0.84380952375275753,0.33628034591674805,0.001,0.87583333253860474,0.2680879533290863
26,0.8663095235824585,0.2868000955453941,0.001,0.83750000596046448,0.35583303868770599
